participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
88,8eh8ktpx,,0,1,9,consent_start3,1,Consent,10.41.215.197,2017-02-14 03:35:26.857820+00:00,0,1,A1YWDQZCEWGD6H,37Q970SNZFND4RWWDIG05WA36N6S1O,88,,0,1,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
89,2dgtq3ci,,0,5,9,ultimatum_customer,1,WaitForProposer,10.93.232.18,2017-02-14 03:47:53.333083+00:00,0,1,A2238DIUUMS7AQ,3OSWBBLG1FCFS3Y7NL6I56S4AZCDX8,2,,0,37,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
90,9yustivn,,0,1,9,consent_start3,1,Consent,10.203.237.92,2017-02-14 04:00:05.391666+00:00,0,1,A3MELYYGRJ61SX,3U0SRXB7CEK4HJ383GETCTIANMTNR4,90,,0,1,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
91,ylzlxgmn,,0,7,9,ultimatum_customer,1,ResultsWaitPage,10.164.78.133,2017-02-14 04:05:11.857495+00:00,0,1,A1SUYFU5E6ZXGK,31JLPPHS2V9UG2IIT5DA9KFZ7IJ3OW,1,,0,38,5,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
92,oza5lelb,,0,5,9,ultimatum_customer,1,WaitForProposer,10.37.191.73,2017-02-14 04:06:27.141778+00:00,0,1,A11UOM2LJ69AE7,37UEWGM5HUN13CWJYTGVFM57KLP1RB,2,,0,38,5,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
93,e1i5henm,,0,10,9,ultimatum_customer,1,Validation,10.152.233.4,2017-02-14 04:09:13.719631+00:00,0,1,A8P66AMRDFLLT,3EF8EXOTT2AK5OD6QO7MDVJGA4VJ11,1,1737889,0,39,1,0,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
94,zq66r59e,,0,10,9,ultimatum_customer,1,Validation,10.169.124.243,2017-02-14 04:13:19.900332+00:00,0,1,A1MFZFYYDW4ZIX,36H9ULYP639BV37EXNM72XNABEEFJY,2,8359250,0,39,1,0,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
95,6kdiyhut,,0,10,9,ultimatum_customer,1,Validation,10.43.197.52,2017-02-14 04:13:44.803887+00:00,0,1,AEY67OL8UKB,30LSNF239VAVZYBWRAM06DELPVKI25,1,4124505,96,40,4,1,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
96,qdu4l7if,,0,10,9,ultimatum_customer,1,Validation,10.203.237.92,2017-02-14 04:17:34.735290+00:00,0,1,A1MPGNVKJI4ZT6,3MD9PLUKKJTDJAPZDX86YWK9W3DZNA,2,449971,4,40,4,1,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
97,c9k4rou5,,0,3,9,ultimatum_customer,1,WaitToStart,10.109.135.32,2017-02-14 04:19:46.132079+00:00,0,1,A9UBPUEWAMA06,3U0SRXB7CEK4HJ383GETCTIANMUNR5,1,,0,41,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
