participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,x7prwsb2,,0,10,9,ultimatum_banker,1,Validation,10.183.102.41,2017-02-14 00:08:17.898349+00:00,0,1,,,1,,0,2,99,0,1,g89inow7,,,,,,,,1
2,3fwvdhsx,,0,9,9,ultimatum_banker,1,Validation,10.183.102.41,2017-02-14 00:09:19.384023+00:00,0,1,,,2,,0,2,99,0,1,g89inow7,,,,,,,,1
1,far4l1a7,,0,4,9,ultimatum_banker,1,Offer,10.63.231.107,2017-02-14 00:17:06.969657+00:00,0,1,,,1,,0,2,,,1,nnplyi73,,,,,,,,1
2,34xeh712,,0,5,9,ultimatum_banker,1,WaitForProposer,10.63.231.107,2017-02-14 00:17:15.085310+00:00,0,1,,,2,,0,2,,,1,nnplyi73,,,,,,,,1
1,u7dkfnur,,0,8,9,ultimatum_banker,1,Results,10.43.180.138,2017-02-14 00:21:22.034441+00:00,0,1,A15FXHC1CVNW31,3URFVVM166XQE098AYKSCRC34ZUUZL,1,,50,4,50,1,1,pfbe2q4n,,,,,3KG2UQJ0MJ31JYQE0ZKSIJCLE0WQNO,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
2,rjepzjjj,,0,10,9,ultimatum_banker,1,Validation,10.179.86.73,2017-02-14 00:21:25.646531+00:00,0,1,A1A6DUWWGNEE4W,3N2BF7Y2VR9LA745VANZLAR4VNBHMR,2,7346018,50,4,50,1,1,pfbe2q4n,,,,,3KG2UQJ0MJ31JYQE0ZKSIJCLE0WQNO,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
3,yfzujzkh,,0,10,9,ultimatum_banker,1,Validation,10.140.231.210,2017-02-14 00:21:31.737460+00:00,0,1,A2AAY4VT9L71SY,39GAF6DQWSFTWJD07DL5GJUA5RQV1M,1,4894909,50,2,50,1,1,pfbe2q4n,,,,,3KG2UQJ0MJ31JYQE0ZKSIJCLE0WQNO,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
4,piufy60r,,0,10,9,ultimatum_banker,1,Validation,10.43.180.138,2017-02-14 00:21:33.425469+00:00,0,1,A1UIKSG4IKHGCZ,3C6FJU71TR8Q9AZ3ECI9YK31Y5QUYU,1,325288,50,3,50,1,1,pfbe2q4n,,,,,3KG2UQJ0MJ31JYQE0ZKSIJCLE0WQNO,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
5,zktn4pc9,,0,10,9,ultimatum_banker,1,Validation,10.63.100.174,2017-02-14 00:21:35.391758+00:00,0,1,A2HM35CWB7IIFM,3PWWM24LHTD2ASZJIOA9TOK7MZ482C,1,6114788,50,6,50,1,1,pfbe2q4n,,,,,3KG2UQJ0MJ31JYQE0ZKSIJCLE0WQNO,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
6,h817v534,,0,9,9,ultimatum_banker,1,Validation,10.164.172.163,2017-02-14 00:21:44.419947+00:00,0,1,A2SBISQJE2ZPJQ,39LOEL67OTKRVAV2MOOECYPZSD483N,2,,50,2,50,1,1,pfbe2q4n,,,,,3KG2UQJ0MJ31JYQE0ZKSIJCLE0WQNO,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
